,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
25716,"Hunters Creek Village, Texas",19.76,72.95,2.01,0.35,4.92
25717,"Post, Texas",37.84,42.62,7.73,6.73,5.08
25718,"Hamilton, Texas",16.35,56.12,10.46,3.03,14.04
25719,"Lindale, Texas",20.97,52.16,13.42,2.82,10.64
25720,"Linn, Texas",20.41,40.41,23.09,3.09,12.99
25721,"Loma Grande, Texas",43.53,29.41,0.0,0.0,27.06
25722,"Villa del Sol, Texas",46.34,53.66,0.0,0.0,0.0
25723,"Nolanville, Texas",31.78,50.13,11.82,3.77,2.5
25724,"Pine Island, Texas",20.24,54.79,15.38,2.13,7.46
25725,"Killeen, Texas",30.94,51.82,10.93,2.69,3.62
25726,"Little River-Academy, Texas",26.67,53.13,13.2,1.37,5.64
25727,"Troy, Texas",25.72,54.78,12.8,1.71,5.0
25728,"Quail, Texas",0.0,100.0,0.0,0.0,0.0
25729,"Samnorwood, Texas",0.0,100.0,0.0,0.0,0.0
25730,"Roscoe, Texas",31.01,56.56,9.43,0.0,3.0
25731,"Brazos Country, Texas",19.39,70.61,3.88,2.24,3.88
25732,"Cashion Community, Texas",11.45,64.32,13.66,0.0,10.57
25733,"Hideaway, Texas",12.92,67.47,7.33,1.67,10.62
25734,"Jarrell, Texas",25.69,56.79,13.98,0.89,2.66
25735,"Kurten, Texas",27.19,55.89,14.2,2.11,0.6
25736,"Petronilla, Texas",28.57,53.57,3.57,8.04,6.25
25737,"Salado village, Texas",19.87,65.74,8.74,2.51,3.14
25738,"San Ygnacio, Texas",21.17,59.91,10.36,8.56,0.0
25739,"Reid Hope King, Texas",31.22,59.81,0.0,0.0,8.98
25740,"Coleman, Texas",14.77,58.49,11.4,3.89,11.46
25741,"Port Isabel, Texas",28.36,49.46,11.43,2.19,8.56
25742,"Santa Maria, Texas",45.42,41.5,9.16,1.5,2.43
25743,"Loma Linda, Texas",0.0,100.0,0.0,0.0,0.0
25744,"Loma Linda East CDP (Jim Wells County), Texas",37.27,62.73,0.0,0.0,0.0
25745,"Loma Linda East CDP (Starr County), Texas",0.0,0.0,0.0,0.0,0.0
25746,"Loma Linda West, Texas",18.97,50.0,31.03,0.0,0.0
25747,"Loma Vista, Texas",55.95,31.35,0.0,0.0,12.7
25748,"Longoria, Texas",0.0,0.0,0.0,0.0,100.0
25749,"Loop, Texas",11.71,86.94,0.0,0.0,1.35
25750,"Los Altos, Texas",100.0,0.0,0.0,0.0,0.0
25751,"Los Angeles, Texas",0.0,0.0,0.0,0.0,0.0
25752,"Los Arcos, Texas",27.66,36.17,17.02,0.0,19.15
25753,"Los Arrieros, Texas",0.0,0.0,0.0,0.0,0.0
25754,"Los Barreras, Texas",44.44,36.81,0.0,18.75,0.0
25755,"Nesbitt, Texas",18.8,54.7,1.71,1.71,23.08
25756,"Los Centenarios, Texas",0.0,0.0,0.0,0.0,0.0
25757,"Cisco, Texas",29.95,46.98,13.18,0.28,9.61
25758,"Carbon, Texas",22.13,56.6,6.38,3.4,11.49
25759,"Gruver, Texas",37.22,41.66,9.38,5.92,5.82
25760,"Palm Valley, Texas",15.76,62.61,10.43,2.45,8.75
25761,"Mesquite, Texas",34.97,44.98,12.03,2.67,5.36
25762,"Eden, Texas",42.37,39.36,11.27,1.44,5.55
25763,"Sandia, Texas",26.43,69.47,0.0,4.1,0.0
25764,"Allen, Texas",26.61,60.3,9.27,0.86,2.96
25765,"Wheeler, Texas",20.69,59.64,9.99,3.07,6.61
25766,"Canton, Texas",19.83,49.91,17.67,1.66,10.93
25767,"Edgewood, Texas",28.44,50.0,9.62,3.02,8.92
25768,"Bayview, Texas",15.79,65.5,6.43,0.88,11.4
25769,"Del Mar Heights, Texas",66.2,33.8,0.0,0.0,0.0
25770,"El Camino Angosto, Texas",63.01,31.21,5.78,0.0,0.0
25771,"Parker, Texas",24.95,69.82,4.04,0.26,0.93
25772,"Indian Lake, Texas",19.5,59.34,12.03,3.53,5.6
25773,"Socorro, Texas",38.22,43.03,9.28,3.54,5.93
25774,"Dayton, Texas",27.42,49.41,13.55,3.31,6.3
25775,"Highland Park, Texas",16.81,69.15,8.89,0.2,4.94
25776,"Sunnyvale, Texas",28.44,64.82,3.44,0.74,2.56
25777,"Poteet, Texas",38.56,41.92,9.3,3.18,7.04
25778,"Hughes Springs, Texas",15.95,60.66,10.3,2.0,11.09
25779,"Mertzon, Texas",32.56,50.31,8.18,0.0,8.95
25780,"Laguna Heights, Texas",33.89,50.53,6.04,2.54,7.0
25781,"Slaton, Texas",25.46,46.14,14.45,5.85,8.1
25782,"Lubbock, Texas",40.8,40.86,11.08,2.24,5.03
25783,"Idalou, Texas",28.0,52.81,11.8,0.0,7.4
25784,"Lamar, Texas",21.42,64.02,5.44,0.24,8.88
25785,"La Minita, Texas",11.67,88.33,0.0,0.0,0.0
25786,"Lantana, Texas",18.93,72.05,5.58,1.47,1.98
25787,"La Paloma Addition, Texas",50.7,13.15,29.58,0.0,6.57
25788,"La Paloma Ranchettes, Texas",36.02,63.98,0.0,0.0,0.0
25789,"Laredo Ranchettes West, Texas",0.0,0.0,0.0,0.0,0.0
25790,"Las Haciendas, Texas",0.0,0.0,0.0,0.0,0.0
25791,"Las Palmas, Texas",0.0,0.0,0.0,0.0,100.0
25792,"Las Palmas II, Texas",47.46,38.06,0.0,7.63,6.85
25793,"Las Pilas, Texas",0.0,0.0,0.0,0.0,0.0
25794,"Las Quintas Fronterizas, Texas",44.1,38.21,10.82,3.73,3.13
25795,"La Tina Ranch, Texas",50.08,26.32,19.3,0.0,4.31
25796,"Leming, Texas",24.58,50.83,5.65,0.0,18.94
25797,"Ames, Texas",36.57,34.4,11.98,6.4,10.64
25798,"Southmayd, Texas",24.31,46.55,15.33,4.97,8.84
25799,"Whitesboro, Texas",26.37,45.11,19.73,0.0,8.78
25800,"Whitewright, Texas",29.72,39.88,19.33,0.61,10.47
25801,"Lolita, Texas",10.39,47.91,20.77,0.0,20.94
25802,"La Loma de Falcon, Texas",28.57,49.52,14.29,7.62,0.0
25803,"Aubrey, Texas",24.36,57.78,10.81,1.14,5.9
25804,"Poynor, Texas",22.38,69.52,6.19,0.95,0.95
25805,"Sweeny, Texas",28.5,49.17,9.0,0.92,12.41
25806,"Wild Peach Village, Texas",27.85,45.49,12.85,4.47,9.33
25807,"Melvin, Texas",26.9,51.03,11.03,0.69,10.34
25808,"Covington, Texas",21.55,54.7,7.73,0.55,15.47
25809,"Bonham, Texas",32.56,36.84,17.79,3.49,9.32
25810,"Dodd City, Texas",14.4,66.54,13.23,2.33,3.5
25811,"Honey Grove, Texas",27.45,49.16,12.42,2.03,8.94
25812,"San Antonio, Texas",38.35,41.41,12.01,3.02,5.22
25813,"Sachse, Texas",27.14,62.46,6.96,0.06,3.38
25814,"Farmers Branch, Texas",34.05,48.37,10.62,2.19,4.77
25815,"Ferris, Texas",26.21,53.66,11.59,4.22,4.33
25816,"Castroville, Texas",30.51,48.62,9.64,3.7,7.53
25817,"Port Lavaca, Texas",31.18,44.48,15.16,3.11,6.07
25818,"San Perlita, Texas",38.76,40.04,14.44,3.47,3.29
25819,"Ralls, Texas",24.38,44.91,15.48,3.37,11.87
25820,"Bryson, Texas",39.7,40.69,8.19,3.72,7.69
25821,"DeSoto, Texas",32.78,47.5,11.63,2.72,5.37
25822,"Bruceville-Eddy, Texas",24.94,54.76,14.14,0.26,5.91
25823,"Rockwall, Texas",24.68,60.39,9.09,1.02,4.81
25824,"Richland, Texas",20.77,54.1,13.66,2.19,9.29
25825,"Homestead Meadows North, Texas",28.63,58.89,6.5,1.75,4.24
25826,"Loraine, Texas",25.36,40.35,14.41,4.03,15.85
25827,"Dublin, Texas",31.84,47.48,14.37,2.3,4.01
25828,"Stephenville, Texas",49.34,36.62,9.56,0.93,3.55
25829,"Brazoria, Texas",28.93,47.12,12.52,1.93,9.5
25830,"Freeport, Texas",37.43,43.91,9.23,4.24,5.19
25831,"Aquilla, Texas",19.64,48.21,24.11,0.0,8.04
25832,"Tynan, Texas",29.27,60.37,0.0,0.0,10.37
25833,"Carthage, Texas",32.55,42.29,14.08,2.69,8.39
25834,"Uvalde, Texas",35.82,41.99,10.03,5.04,7.12
25835,"Uvalde Estates, Texas",37.91,46.5,9.24,0.0,6.35
25836,"Azle, Texas",22.29,53.46,15.75,1.49,7.01
25837,"Baird, Texas",25.35,44.48,17.56,2.69,9.92
25838,"Cross Plains, Texas",21.45,43.01,21.45,2.57,11.52
25839,"Nome, Texas",21.15,53.78,10.88,0.0,14.2
25840,"Bailey, Texas",29.59,34.69,23.98,2.04,9.69
25841,"Oak Valley, Texas",20.79,57.3,14.04,2.53,5.34
25842,"Burke, Texas",27.33,59.31,7.51,2.7,3.15
25843,"Lake Meredith Estates, Texas",3.08,14.57,64.99,17.37,0.0
25844,"Mustang, Texas",0.0,0.0,0.0,0.0,0.0
25845,"Blooming Grove, Texas",22.89,45.97,19.23,3.85,8.06
25846,"Marfa, Texas",27.63,45.76,11.82,1.81,12.98
25847,"Wichita Falls, Texas",37.76,41.22,12.73,2.14,6.15
25848,"Wink, Texas",20.92,55.58,17.13,0.8,5.58
25849,"Carrizo Hill, Texas",33.33,55.26,8.77,0.0,2.63
25850,"Ladonia, Texas",34.15,39.23,10.51,3.33,12.78
25851,"Fifth Street, Texas",46.07,48.3,2.31,2.04,1.29
25852,"Pecan Grove, Texas",22.08,62.02,8.99,1.91,5.0
25853,"Pine Forest, Texas",11.9,73.18,7.28,0.0,7.64
25854,"Pleak village, Texas",27.18,59.36,7.16,1.12,5.18
25855,"Oak Ridge North, Texas",24.9,59.18,8.45,2.24,5.23
25856,"Pinehurst, Texas",28.41,53.4,8.54,3.33,6.32
25857,"Stagecoach, Texas",23.19,60.3,10.39,0.0,6.12
25858,"Lytle, Texas",30.01,48.33,12.1,2.74,6.82
25859,"Marietta, Texas",12.64,63.22,12.64,0.0,11.49
25860,"Hillcrest village, Texas",19.16,69.42,4.86,0.79,5.77
25861,"San Juan, Texas",36.53,47.1,8.01,4.04,4.32
25862,"Beach City, Texas",25.65,62.87,6.6,1.56,3.32
25863,"Waxahachie, Texas",32.39,47.93,11.72,1.81,6.15
25864,"Alma, Texas",30.47,56.21,4.44,0.0,8.88
25865,"Thorntonville, Texas",29.66,45.75,12.64,1.84,10.11
25866,"Wortham, Texas",23.42,50.9,11.31,3.28,11.09
25867,"Lakeview, Texas",23.73,47.46,11.86,0.0,16.95
25868,"Magnolia, Texas",31.55,49.53,10.74,1.66,6.52
25869,"Montgomery, Texas",29.55,52.56,12.64,0.43,4.83
25870,"Wells Branch, Texas",38.33,35.66,17.44,4.99,3.58
25871,"Martindale, Texas",24.7,54.37,12.29,2.84,5.79
25872,"La Feria North, Texas",14.88,22.31,40.5,22.31,0.0
25873,"La Paloma, Texas",38.91,47.87,6.43,1.93,4.86
25874,"Laureles, Texas",38.84,44.45,7.44,3.57,5.7
25875,"Hardin, Texas",17.23,52.08,11.93,3.03,15.72
25876,"Pottsboro, Texas",22.25,58.47,12.35,2.62,4.31
25877,"Fairview, Texas",16.76,69.97,8.32,0.25,4.71
25878,"Frisco, Texas",22.71,65.61,7.78,0.81,3.09
25879,"Holland, Texas",33.09,47.97,3.95,6.76,8.22
25880,"Brundage, Texas",0.0,0.0,0.0,0.0,0.0
25881,"Hart, Texas",34.91,41.78,10.14,5.18,8.0
25882,"Bridge City, Texas",23.62,58.6,12.42,0.96,4.4
25883,"Weslaco, Texas",31.95,46.98,11.15,2.78,7.14
25884,"Burnet, Texas",27.63,46.78,14.47,1.01,10.11
25885,"Oglesby, Texas",25.24,52.79,15.41,2.12,4.43
25886,"Canadian, Texas",27.87,56.43,8.81,2.44,4.45
25887,"Agua Dulce, Texas",23.47,58.84,6.61,1.98,9.09
25888,"Bishop, Texas",37.6,44.21,9.97,1.22,7.01
25889,"Sadler, Texas",36.66,31.76,28.72,0.17,2.7
25890,"Daisetta, Texas",20.57,66.19,8.05,1.61,3.58
25891,"Dayton Lakes, Texas",54.44,34.44,11.11,0.0,0.0
25892,"Devers, Texas",29.68,50.27,4.28,8.82,6.95
25893,"Sherman, Texas",30.89,44.45,13.89,3.09,7.68
25894,"Buffalo Springs village, Texas",22.0,57.14,12.24,0.91,7.71
25895,"Josephine, Texas",26.24,61.13,6.51,2.14,3.98
25896,"Melissa, Texas",32.06,62.02,4.54,0.0,1.38
25897,"Plano, Texas",27.67,57.3,9.55,1.26,4.22
25898,"Sweetwater, Texas",25.67,49.0,13.11,3.19,9.03
25899,"Morgan's Point Resort, Texas",20.34,64.29,9.3,0.84,5.23
25900,"Rogers, Texas",18.16,52.76,18.38,0.65,10.05
25901,"Keene, Texas",31.76,51.97,8.61,1.2,6.46
25902,"Rio Vista, Texas",22.96,62.24,7.61,2.07,5.12
25903,"Quemado, Texas",0.0,78.7,0.0,0.0,21.3
25904,"Sulphur Springs, Texas",26.47,47.13,13.57,3.0,9.82
25905,"Premont, Texas",33.77,44.23,13.64,1.55,6.82
25906,"Cumby, Texas",28.85,50.49,15.25,0.98,4.43
25907,"Latexo, Texas",16.67,57.45,23.4,1.06,1.42
25908,"Morse, Texas",18.75,78.57,0.89,0.0,1.79
25909,"Seven Points, Texas",22.1,47.17,17.27,1.86,11.61
25910,"Central Gardens, Texas",23.17,58.12,14.48,0.0,4.24
25911,"Knippa, Texas",40.12,41.07,9.98,0.58,8.25
25912,"Tuleta, Texas",22.96,62.22,6.3,2.22,6.3
25913,"Utopia, Texas",62.86,21.14,10.86,0.0,5.14
25914,"Blue Berry Hill, Texas",33.53,51.2,9.44,0.0,5.82
25915,"Hebbronville, Texas",40.19,38.83,11.3,2.72,6.95
25916,"Pettus, Texas",21.34,36.89,27.74,3.35,10.67
25917,"Reno city (Parker and Tarrant Counties), Texas",30.89,43.64,12.88,2.57,10.02
25918,"Carmine, Texas",15.29,62.42,10.19,0.0,12.1
25919,"Buckholts, Texas",20.63,57.02,10.89,2.01,9.46
25920,"Hewitt, Texas",23.5,61.91,8.61,0.83,5.16
25921,"Robinson, Texas",24.43,59.52,9.25,1.55,5.24
25922,"Sierra Blanca, Texas",23.7,41.16,18.5,0.0,16.63
25923,"Lipan, Texas",15.36,60.75,15.7,0.34,7.85
25924,"Tolar, Texas",17.37,64.77,9.09,1.95,6.82
25925,"Big Spring, Texas",36.37,39.61,14.24,3.01,6.77
25926,"Childress, Texas",41.28,38.96,9.4,1.29,9.07
25927,"Duncanville, Texas",35.43,44.48,11.38,2.7,6.01
25928,"Garrett, Texas",27.95,52.4,6.84,6.99,5.82
25929,"Schulenburg, Texas",31.99,47.7,10.97,2.59,6.76
25930,"South Fork Estates, Texas",0.0,100.0,0.0,0.0,0.0
25931,"Rockdale, Texas",27.87,46.48,17.1,0.79,7.77
25932,"Bellmead, Texas",32.2,40.36,17.3,4.2,5.94
25933,"Crawford, Texas",29.42,54.51,8.48,1.81,5.78
25934,"Lacy-Lakeview, Texas",32.76,43.66,13.94,2.13,7.5
25935,"Lorena, Texas",28.96,50.66,12.88,0.69,6.82
25936,"McGregor, Texas",28.96,45.03,10.44,7.27,8.31
25937,"Runge, Texas",23.57,53.91,4.32,4.2,14.0
25938,"Mountain City, Texas",24.53,67.01,5.41,1.52,1.52
25939,"Granbury, Texas",19.39,49.14,15.91,1.23,14.33
25940,"Hooks, Texas",22.07,52.72,12.95,6.33,5.93
25941,"San Patricio, Texas",13.11,73.78,5.79,3.35,3.96
25942,"Bullard, Texas",23.53,56.63,11.53,4.06,4.25
25943,"Aldine, Texas",41.29,46.15,6.07,1.74,4.76
25944,"Baytown, Texas",33.93,45.99,11.91,2.61,5.56
25945,"Bellaire, Texas",17.94,71.99,5.0,0.43,4.65
25946,"Thorndale, Texas",18.35,55.14,12.97,1.25,12.3
25947,"Cloverleaf, Texas",35.38,47.88,7.58,4.62,4.54
25948,"Panhandle, Texas",26.97,52.8,12.37,1.96,5.91
25949,"Domino, Texas",64.44,17.78,5.56,0.0,12.22
25950,"Early, Texas",23.99,57.33,11.51,0.44,6.73
25951,"Scottsville, Texas",28.24,50.76,7.25,2.29,11.45
25952,"Waskom, Texas",26.34,42.92,16.09,6.69,7.96
25953,"Mabank, Texas",25.93,41.71,19.3,3.87,9.19
25954,"Terrell, Texas",34.96,38.47,15.65,3.72,7.2
25955,"Corrigan, Texas",33.03,47.88,9.78,1.6,7.7
25956,"West Livingston, Texas",34.93,39.58,16.84,4.72,3.93
25957,"Callisburg, Texas",25.08,45.28,17.92,2.28,9.45
25958,"Gainesville, Texas",28.49,47.66,14.24,2.57,7.05
25959,"Cameron, Texas",25.81,48.46,13.5,3.35,8.89
25960,"Gholson, Texas",12.21,65.59,13.32,1.66,7.21
25961,"Conroe, Texas",32.48,49.01,10.34,2.7,5.47
25962,"Panorama Village, Texas",21.62,61.36,5.98,0.11,10.93
25963,"Splendora, Texas",27.4,51.97,13.63,3.32,3.67
25964,"Circle D-KC Estates, Texas",19.38,59.39,12.78,1.2,7.25
25965,"Christine, Texas",22.59,65.27,4.6,2.09,5.44
25966,"Bloomburg, Texas",42.37,39.64,11.62,1.14,5.24
25967,"McLean, Texas",23.14,47.57,13.0,2.86,13.43
25968,"Hedwig Village, Texas",29.43,60.92,6.53,0.0,3.12
25969,"Highlands, Texas",32.92,41.12,16.53,2.46,6.96
25970,"Lake Tanglewood village, Texas",8.71,76.33,9.12,0.27,5.58
25971,"Hawley, Texas",21.51,52.86,16.02,2.29,7.32
25972,"Barry, Texas",9.95,66.49,16.23,0.0,7.33
25973,"Dawson, Texas",26.83,50.35,12.86,3.32,6.64
25974,"Goodlow, Texas",24.79,52.07,15.7,0.83,6.61
25975,"Miles, Texas",35.48,50.77,8.87,0.0,4.88
25976,"Winters, Texas",30.34,45.45,12.64,2.04,9.53
25977,"Tenaha, Texas",42.98,34.8,9.83,3.4,9.0
25978,"Timpson, Texas",28.83,34.47,16.6,9.47,10.64
25979,"Grandfalls, Texas",26.24,49.29,8.16,3.9,12.41
25980,"Wickett, Texas",19.53,53.72,14.42,3.72,8.6
25981,"Holliday, Texas",25.83,50.2,9.59,2.84,11.54
25982,"Pecan Gap, Texas",14.2,68.52,7.41,3.09,6.79
25983,"Cuevitas, Texas",0.0,0.0,0.0,0.0,0.0
25984,"Abbott, Texas",19.76,62.1,11.29,0.0,6.85
25985,"Arcola, Texas",34.03,49.7,7.77,4.09,4.42
25986,"Four Corners, Texas",30.09,58.1,6.18,1.1,4.53
25987,"Sienna Plantation, Texas",28.26,63.37,4.85,1.67,1.86
25988,"Kilgore, Texas",30.29,45.09,13.83,3.44,7.35
25989,"Clarksville City, Texas",16.14,58.24,14.81,2.33,8.49
25990,"Dell City, Texas",20.14,34.72,9.72,11.11,24.31
25991,"Hays, Texas",24.37,48.73,8.63,4.57,13.71
25992,"Point Blank, Texas",16.56,48.44,19.69,0.31,15.0
25993,"La Grulla, Texas",30.32,49.17,9.55,1.58,9.39
25994,"La Puerta, Texas",51.99,34.19,4.92,1.17,7.73
25995,"Santa Cruz, Texas",0.0,100.0,0.0,0.0,0.0
25996,"Pearland, Texas",24.19,62.57,7.81,1.16,4.27
25997,"Leary, Texas",25.21,49.79,17.08,0.62,7.29
25998,"Redwater, Texas",25.66,48.12,16.42,2.17,7.64
25999,"Pasadena, Texas",33.73,46.47,11.23,4.02,4.56
26000,"Throckmorton, Texas",27.02,53.28,7.33,4.73,7.63
26001,"South Houston, Texas",34.56,48.54,6.6,4.74,5.57
26002,"Buchanan Dam, Texas",9.98,56.17,21.36,1.11,11.38
26003,"Goree, Texas",29.51,52.13,8.52,4.26,5.57
26004,"Oakwood, Texas",31.91,35.25,15.4,1.86,15.58
26005,"Mart, Texas",33.9,40.79,13.38,3.02,8.92
26006,"Valley Mills, Texas",22.39,53.38,14.58,1.74,7.92
26007,"Woodway, Texas",18.7,67.87,6.26,1.06,6.1
26008,"Buda, Texas",21.97,61.66,13.03,0.74,2.61
26009,"Dripping Springs, Texas",29.83,47.48,10.73,1.76,10.2
26010,"Stafford, Texas",33.43,48.04,11.41,2.04,5.08
26011,"Sugar Land, Texas",24.62,64.35,6.07,0.97,3.99
26012,"Huntington, Texas",23.8,47.66,13.48,3.67,11.39
26013,"Channelview, Texas",35.44,47.09,9.79,3.21,4.48
26014,"Somerville, Texas",40.03,38.95,9.14,2.82,9.05
26015,"Sunray, Texas",22.71,60.37,7.33,2.26,7.33
26016,"Waller, Texas",25.57,51.14,16.29,2.57,4.43
26017,"Alice, Texas",36.29,42.58,10.53,2.46,8.14
26018,"Sunrise Beach Village, Texas",17.38,62.77,14.78,0.24,4.85
26019,"Orange Grove, Texas",26.98,57.41,5.26,0.69,9.66
26020,"Rancho Alegre, Texas",35.03,35.55,14.5,5.44,9.49
26021,"Westdale, Texas",0.0,0.0,0.0,0.0,100.0
26022,"Munday, Texas",21.52,50.77,11.48,1.55,14.68
26023,"Gustine, Texas",18.18,57.58,16.06,3.94,4.24
26024,"Stonewall, Texas",15.7,58.69,13.83,0.0,11.78
26025,"Memphis, Texas",24.99,48.97,14.67,1.28,10.09
26026,"Turkey, Texas",29.75,54.84,8.24,1.79,5.38
26027,"The Woodlands, Texas",21.72,64.41,8.96,0.91,3.99
26028,"Tomball, Texas",29.14,43.67,15.3,2.17,9.73
26029,"Woodloch, Texas",30.64,45.66,10.98,4.62,8.09
26030,"Elgin, Texas",36.54,42.78,12.64,2.13,5.91
26031,"Snook, Texas",39.45,40.09,9.81,6.61,4.05
26032,"Smithville, Texas",33.22,39.08,15.98,0.9,10.81
26033,"Cactus, Texas",34.29,59.08,2.62,3.23,0.77
26034,"Kemah, Texas",32.2,49.03,10.4,6.27,2.1
26035,"Grand Prairie, Texas",34.41,49.66,9.43,2.63,3.88
26036,"Lewisville, Texas",34.74,47.08,11.8,2.49,3.88
26037,"Falls City, Texas",23.79,60.3,6.92,0.14,8.85
26038,"Bear Creek village, Texas",19.28,68.07,6.63,0.6,5.42
26039,"Grapeland, Texas",33.16,40.01,14.21,0.66,11.95
26040,"Lovelady, Texas",22.48,42.61,19.06,0.64,15.2
26041,"Coahoma, Texas",14.03,68.03,9.46,2.45,6.04
26042,"Tira, Texas",28.71,45.05,18.81,2.48,4.95
26043,"Anson, Texas",17.77,57.29,14.39,1.53,9.02
26044,"Stamford, Texas",20.1,51.3,11.43,3.48,13.68
26045,"Robstown, Texas",36.76,35.0,12.01,4.54,11.69
26046,"Spofford, Texas",47.34,46.81,5.85,0.0,0.0
26047,"Huntsville, Texas",50.89,30.71,13.27,1.58,3.55
26048,"Jasper, Texas",29.92,48.85,8.6,3.29,9.34
26049,"San Leon, Texas",24.58,48.55,15.88,3.89,7.09
26050,"Kirbyville, Texas",25.49,40.76,17.11,6.79,9.86
26051,"Bayou Vista, Texas",17.85,58.44,14.36,0.43,8.92
26052,"Santa Fe, Texas",26.01,58.11,8.82,1.08,5.99
26053,"Como, Texas",23.34,61.22,10.77,1.26,3.41
26054,"Fowlerton, Texas",31.58,68.42,0.0,0.0,0.0
26055,"Brownsville, Texas",34.53,47.57,7.1,4.43,6.37
26056,"Bailey's Prairie village, Texas",19.93,66.28,4.82,0.0,8.97
26057,"McLendon-Chisholm, Texas",20.44,67.14,6.43,0.94,5.05
26058,"Industry, Texas",31.13,59.53,4.28,0.0,5.06
26059,"Bellville, Texas",28.63,49.19,10.8,0.0,11.38
26060,"Bonney village, Texas",22.0,52.5,18.5,7.0,0.0
26061,"Brookside Village, Texas",27.69,58.5,6.31,2.19,5.31
26062,"Clute, Texas",29.74,48.51,12.37,3.36,6.04
26063,"Iowa Colony village, Texas",36.07,50.76,9.18,2.27,1.73
26064,"Jones Creek village, Texas",26.65,56.81,9.06,3.04,4.44
26065,"Rice, Texas",23.8,54.37,14.76,1.51,5.57
26066,"Oyster Creek, Texas",24.37,45.08,18.58,3.86,8.12
26067,"Quintana, Texas",7.69,38.46,46.15,7.69,0.0
26068,"Surfside Beach, Texas",22.47,56.72,13.44,2.39,4.97
26069,"Royse City, Texas",28.26,58.25,8.0,2.19,3.31
26070,"Huxley, Texas",15.21,64.69,9.28,1.29,9.54
26071,"Palisades village, Texas",9.64,59.44,18.88,3.21,8.84
26072,"Nash, Texas",26.23,49.71,13.49,4.12,6.45
26073,"Hearne, Texas",26.54,43.26,15.07,6.89,8.24
26074,"Brady, Texas",32.52,41.46,15.9,1.77,8.34
26075,"Hubbard, Texas",23.63,50.04,17.01,3.84,5.48
26076,"Blum, Texas",29.82,49.09,8.36,5.09,7.64
26077,"University Park, Texas",33.84,57.56,6.35,0.32,1.94
26078,"Tioga, Texas",25.46,49.22,17.78,1.85,5.69
26079,"Van Alstyne, Texas",26.28,53.76,10.15,3.11,6.7
26080,"Odem, Texas",28.48,51.19,11.27,4.28,4.78
26081,"Lago, Texas",33.58,37.59,6.93,12.77,9.12
26082,"New Deal, Texas",22.73,53.45,17.27,0.0,6.55
26083,"Chireno, Texas",27.15,50.42,10.53,5.26,6.65
26084,"Brenham, Texas",39.7,36.25,12.02,3.37,8.65
26085,"League City, Texas",26.02,58.38,10.45,1.17,3.98
26086,"Citrus City, Texas",35.91,47.2,9.41,5.45,2.03
26087,"Donna, Texas",32.67,47.36,7.47,4.28,8.22
26088,"Rocky Mound, Texas",14.49,55.07,28.99,0.0,1.45
26089,"Liverpool, Texas",26.37,54.95,9.45,1.54,7.69
26090,"New Hope, Texas",21.81,62.85,11.09,0.74,3.51
26091,"Eastland, Texas",33.72,42.04,14.78,2.72,6.75
26092,"Abernathy, Texas",24.31,58.81,8.4,2.41,6.07
26093,"Fate, Texas",14.49,77.37,4.36,0.79,2.99
26094,"Selma, Texas",28.65,53.43,13.12,2.0,2.79
26095,"Buffalo, Texas",22.56,46.23,18.23,2.51,10.47
26096,"Paris, Texas",27.68,42.67,16.93,3.21,9.52
26097,"Thompsons, Texas",17.24,39.41,23.65,9.85,9.85
26098,"Winnie, Texas",22.74,51.13,12.54,2.68,10.9
26099,"Riviera, Texas",30.88,50.7,6.14,5.96,6.32
26100,"Rosharon, Texas",21.79,62.15,5.64,0.86,9.56
26101,"Rosita, Texas",36.27,43.24,10.63,5.78,4.08
26102,"Salineño North, Texas",12.24,53.06,0.0,26.53,8.16
26103,"Sammy Martinez, Texas",47.37,52.63,0.0,0.0,0.0
26104,"Sam Rayburn, Texas",1.93,67.26,18.96,0.0,11.85
26105,"San Carlos I, Texas",29.41,45.1,0.0,0.0,25.49
26106,"San Carlos II, Texas",47.14,40.97,0.0,11.89,0.0
26107,"Sandoval, Texas",0.0,0.0,0.0,0.0,0.0
26108,"Sand Springs, Texas",31.85,34.41,24.87,0.0,8.87
26109,"San Fernando, Texas",0.0,43.59,56.41,0.0,0.0
26110,"San Juan, Texas",64.44,6.67,0.0,0.0,28.89
26111,"Santa Anna, Texas",0.0,0.0,100.0,0.0,0.0
26112,"Santa Rosa, Texas",35.54,29.52,0.0,0.0,34.94
26113,"Santel, Texas",0.0,100.0,0.0,0.0,0.0
26114,"Sarita, Texas",20.58,41.16,16.09,5.8,16.36
26115,"Savannah, Texas",29.92,57.22,10.28,0.18,2.4
26116,"Rivereno, Texas",0.0,0.0,100.0,0.0,0.0
26117,"Kingsbury, Texas",0.0,75.76,0.0,0.0,24.24
26118,"Ricardo, Texas",27.02,48.15,16.12,3.27,5.45
26119,"Redland, Texas",27.39,38.42,13.09,15.64,5.45
26120,"Placedo, Texas",18.74,57.84,14.26,5.09,4.07
26121,"Pleasant Hill, Texas",36.82,50.0,8.52,0.0,4.66
26122,"Port O'Connor, Texas",29.12,54.66,6.64,4.34,5.24
26123,"Powderly, Texas",14.57,56.19,16.54,0.0,12.71
26124,"Preston, Texas",19.38,50.45,19.22,2.63,8.32
